City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Coahuayana,MX,80.6,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
110,Mazamari,PE,78.4,moderate rain,-11.3258,-74.5308,Hospedaje Ratto
112,Acarau,BR,83.88,broken clouds,-2.8856,-40.12,castelo pizzaria
114,Manado,ID,77.0,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
118,Cayenne,GF,87.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
121,Shushtar,IR,76.21,scattered clouds,32.0455,48.8567,چاپ یاس کبود
122,Morant Bay,JM,84.0,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
128,Kalmunai,LK,80.89,moderate rain,7.4167,81.8167,VS Villa
133,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
134,Arraial Do Cabo,BR,87.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
140,Balsas,BR,84.92,overcast clouds,-7.5325,-46.0356,Novo Hotel
141,Kang,BW,74.8,clear sky,-23.6752,22.7876,Kang Ultra Stop
152,Honiara,SB,76.59,light rain,-9.4333,159.95,Heritage Park Hotel
157,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
159,Teahupoo,PF,80.6,broken clouds,-17.8333,-149.2667,Vanira Lodge
168,San Patricio,US,81.0,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
170,Itarema,BR,85.46,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
172,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
176,Lorengau,PG,80.87,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
178,Port-Gentil,GA,78.8,scattered clouds,-0.7193,8.7815,Fengshui Residence
186,Houston,US,80.01,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
