City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Georgiyevka,KZ,43.0369,74.7114,50.0,66,0,15.66,clear sky
307,Salalah,OM,17.0151,54.0924,82.4,69,20,6.91,few clouds
308,Ituango,CO,7.1712,-75.764,76.21,67,99,0.78,overcast clouds
309,Shubarshi,KZ,48.5872,57.1869,49.23,56,1,10.83,clear sky
310,Kankan,GN,10.3854,-9.3057,103.39,13,67,4.27,broken clouds
311,Araouane,ML,18.9048,-3.5265,97.92,6,1,6.02,clear sky
312,Rock Springs,US,41.5875,-109.2029,42.01,28,1,8.05,clear sky
313,Haicheng,CN,40.8516,122.7475,52.03,48,100,12.88,overcast clouds
314,Kahului,US,20.8947,-156.47,64.4,88,20,3.44,few clouds
315,Wahlstedt,DE,53.95,10.2167,39.99,52,100,5.99,light rain
316,Ambilobe,MG,-13.2,49.05,74.61,90,64,2.89,light rain
317,Virginia Beach,US,36.8529,-75.978,77.0,61,20,9.22,few clouds
318,Deneysville,ZA,-26.8908,28.0971,69.03,22,0,2.15,clear sky
319,Clyde River,CA,70.4692,-68.5914,30.2,80,75,20.71,light snow
320,Lianzhou,CN,24.7811,112.3825,69.82,87,57,2.66,light rain
321,Mariakani,KE,-3.8633,39.4736,82.4,69,40,8.05,scattered clouds
322,Srednekolymsk,RU,67.45,153.6833,-31.59,100,94,1.07,overcast clouds
323,Evensk,RU,61.95,159.2333,-4.81,78,67,11.56,broken clouds
324,Bardiyah,LY,31.7561,25.0865,57.74,54,3,7.43,clear sky
325,Yeppoon,AU,-23.1333,150.7333,68.0,68,0,11.48,clear sky
326,Mitsamiouli,KM,-11.3847,43.2844,81.82,75,85,10.83,overcast clouds
327,Muncar,ID,-8.4333,114.3333,75.74,91,12,2.86,few clouds
328,Kilindoni,TZ,-7.9139,39.6668,81.52,79,97,14.92,light rain
329,Vagay,RU,57.9375,69.0217,41.23,77,100,10.11,overcast clouds
330,Belmonte,BR,-15.8631,-38.8828,82.4,83,75,4.61,broken clouds
331,Adrar,MR,20.5022,-10.0711,93.34,11,45,8.01,scattered clouds
