City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Puerto Lempira,HN,2021-04-08 15:23:01,15.2667,-83.7667,84.2,74,75,2.3
222,Coquimbo,CL,2021-04-08 15:23:01,-29.9533,-71.3436,64.4,72,0,9.22
223,Moyale,KE,2021-04-08 15:18:19,3.5167,39.0584,79.43,45,53,8.3
224,Coahuayana,MX,2021-04-08 15:23:02,18.7333,-103.6833,75.2,43,1,1.05
225,Tiksi,RU,2021-04-08 15:23:02,71.6872,128.8694,-15.48,100,100,4.38
226,Angoche,MZ,2021-04-08 15:23:03,-16.2325,39.9086,79.36,72,31,10.8
227,Comodoro Rivadavia,AR,2021-04-08 15:23:03,-45.8667,-67.5,64.4,42,0,10.36
228,Ati,TD,2021-04-08 15:23:03,13.2154,18.3353,107.13,5,73,8.99
229,Aizpute,LV,2021-04-08 15:23:04,56.7167,21.6,42.8,81,20,14.97
230,Evensk,RU,2021-04-08 15:23:04,61.95,159.2333,5.81,85,8,11.01
231,Bilibino,RU,2021-04-08 15:23:04,68.0546,166.4372,-19.14,97,88,4.59
232,Itarema,BR,2021-04-08 15:23:05,-2.9248,-39.9167,86.13,66,34,18.41
233,Sehithwa,BW,2021-04-08 15:23:05,-20.4667,22.7167,84.52,21,2,9.4
234,Khorixas,NA,2021-04-08 15:23:05,-20.3667,14.9667,91.02,21,56,9.24
235,Pemangkat,ID,2021-04-08 15:23:06,1.1667,108.9667,79.75,81,64,7.38
236,Pimentel,PE,2021-04-08 15:23:06,-6.8367,-79.9342,75.2,69,75,12.66
237,Nemuro,JP,2021-04-08 15:23:07,43.3236,145.575,31.98,59,0,13.78
238,Clarksburg,US,2021-04-08 15:23:07,39.2807,-80.3445,79.0,33,75,4.07
239,Ambilobe,MG,2021-04-08 15:23:08,-13.2,49.05,77.77,85,100,0.31
240,Nabire,ID,2021-04-08 15:23:08,-3.3667,135.4833,77.0,89,100,3.49
241,Lakes Entrance,AU,2021-04-08 15:23:08,-37.8811,147.981,66.0,73,100,7.02
242,Polunochnoye,RU,2021-04-08 15:23:09,60.8697,60.4153,34.0,99,100,3.36
243,Pacific Grove,US,2021-04-08 15:23:09,36.6177,-121.9166,51.8,76,90,6.91
244,Avera,US,2021-04-08 15:23:10,33.194,-82.5271,72.0,64,1,10.36
245,Byron Bay,AU,2021-04-08 15:23:10,-28.65,153.6167,64.4,94,45,6.91
246,Opuwo,NA,2021-04-08 15:21:18,-18.0607,13.84,86.7,29,2,13.33
